Nome_ZT,XCOORD,YCOORD
Centro,,
Vila Maria e Vila Santa Luzia,,
Jardim Paulista e Monte Castelo,,
Vila São Pedro e Jardim Jussara,,
Vila Piratininga e Jardim Augusta,,
Vila Adyanna e Vila Betânia,,
Vila Ema e Jardim Esplanada,,
Santana e Vila Rossi,,
Vila Industrial e VilaTatetuba,,
Jardim da Granja e Jardim Souto,,
CTA e INPE,,
Vila Nova Conceição e Vila São Bento,,
Jardim Satlite e Floradas de São José,,
Jardim Aquarius e Jardim Colinas,,
Condomnio Esplanada do Sol e Serimbura,,
Jardim Telespark e Jardim Altos de Santana,,
Alto da Ponte e Vila Veneziani,,
Vila Tesouro e Jardim Universo,,
Jardim Motorama e Jardim Nova Detroit,,
Jardim Americano e Vista Verde,,
Chácara Pousada do Vale e Campos de São José,,
Residencial Flamboyant e Jardim Uirá,,
Jardim do Lago e Vila Iracema,,
Parque Interlagos e Altos da Quinta,,
Bosque dos Eucaliptos e Quinta das Flores,,
Conjunto Habitacional Dom Pedro,,
Jardim Imperial e Jardim Colonial,,
Bosque dos Ipês e Campo dos Alemães,,
Cidade Morumbi e Residencial União,,
Parque Industrial e Jardim Oriente,,
Palmeiras de So Jose e Rio Comprido,,
Jardim Alvorada e Jardim das Indústrias,,
Limoeiro,,
Urbanova,,
Banhado,,
Vazio urbano,,
Vila São Geraldo e Jardim Minas Gerais,,
Vila Paiva e Jardim Boa Vista,,
Chácara dos Freitas e Chácara do Bonsucesso,,
Residencial Vista Linda,,
Vazio urbano,,
Eugênio de Melo e Galo Branco,,
Jardim Santa Inês e Residencial Frei Galvo,,
Parque Novo Horizonte e Residencial Dom Bosco,,
Jardim Ebenezer e Chácara Sítio Jata,,
Cajuru,,
Jardim República e Vila das Flores,,
São Francisco Xavier e Área Rural,,
Jardim Diamante e REVAP,,
Vazio urbano,,
Santa Cecília e Jardim Helena,,
Paratehy e Residencial Jaguary,,
Chácara Fazenda Caeté,,
Águas de Canindé e Chácara Havaí,,
Chácara Pedra D'gua II,,
